seed,diq_aligned_state_mse,diq_state_r2,linear_pair_state_mse,linear_pair_state_r2,pca_state_mse,pca_state_r2,diq_pair_variance,linear_pair_variance
0,0.0009630771931781,0.9993937030438284,0.0570569660500201,0.9640802782066222,0.2709536017718494,0.8294234925490738,0.0041958094,0.1063869366354734
1,0.0013785960694104,0.9991326884516488,0.0609771724323418,0.9616376348302076,0.2989069918381238,0.8119496409017423,0.004133523,0.0972119978067331
2,0.0013697358203688,0.9991385954115324,0.0527384436630254,0.9668336501941392,0.2743730910442207,0.8274512237594177,0.0039471737,0.098018184479906
3,0.0011491912668572,0.9992773275567616,0.0508701406455322,0.9680101564566124,0.3258274287216526,0.7951024248275712,0.0045730984,0.0813612211766228
4,0.0014319865827912845,0.9990989317330159,0.04796179802743422,0.9698203497509146,0.29853395946082784,0.812149442795099,0.0049398127011954784,0.09448575036734258
