comparison,gain_mean,ci95_low,ci95_high,p_two_sided,wins,n
diq_vs_linear_pair_state_mse,0.052662386777149586,0.04621588804149935,0.05910888551279982,2.2381083364126557e-05,5,5
diq_vs_pca_state_mse,0.2924604971808137,0.2649142315916947,0.3200067627699327,7.885918278449997e-06,5,5
