,mean,sem
diq_aligned_state_mse,0.0012585173865211569,8.835074998264097e-05
diq_state_r2,0.9992082492393575,5.5532122726709034e-05
linear_pair_state_mse,0.05392090416367075,0.0023004578115734956
linear_pair_state_r2,0.9660764138876992,0.001449433338808358
pca_state_mse,0.29371901456733485,0.00993372497783642
pca_state_r2,0.8152152449665808,0.00622969631359055
diq_pair_variance,0.004357883440239096,0.00017751721551065126
linear_pair_variance,0.09549281809321558,0.0040542020787370184
