arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3612869629485589,0.00185263885504397,6,0.003494826156116931,block,0.003992601104248857,0.0,oracle_block,0.0,200,1.3647817891046756,0.0
signed_permutation,1.3612869629485589,0.0018526388550439696,6,0.003494826156116932,block,0.003992601104248857,0.0,permutation_block,0.0,200,1.3647817891046756,0.0
signed_permutation,1.3612869629485589,0.0019514353161230588,6,0.0036562759351269187,block,0.004008785950445272,0.1117295036143818,jbd_block,0.15390860195691541,200,1.364943238883686,0.0015424667417758952
signed_permutation,1.3612869629485589,0.02325260117434963,4,0.02818108422441747,diagonal,0.003992601104248857,0.0,oracle_diagonal,0.0,200,1.3894680471729766,0.0
signed_permutation,1.3612869629485589,0.002471186106845413,10,0.00401483599012744,full,0.4521189163209443,1.0,provisional_full,1.0,200,1.3653017989386862,0.43669848360140656
haar,1.3612869629485584,0.0018526388550439584,6,0.0034948261561169223,block,0.003992601104248846,2.1073424255447017e-08,oracle_block,0.0,200,1.3647817891046756,8.188680526575824e-31
haar,1.3612869629485587,0.018677389724037416,6,0.021611393414315047,block,0.3419107926123185,0.6337100366075035,permutation_block,0.7298168466553229,200,1.382898356362874,0.335539338784368
haar,1.3612869629485589,0.0019514353161230273,6,0.0036562759351269304,block,0.0040087859504450854,0.11172950361437683,jbd_block,0.15390860195691125,200,1.364943238883686,0.0015424667417758358
haar,1.3612869629485584,0.02325260117434962,4,0.028181084224417414,diagonal,0.003992601104248846,2.1073424255447017e-08,oracle_diagonal,0.0,200,1.3894680471729761,8.188680526575824e-31
haar,1.3612869629485589,0.002471186106845342,10,0.0040148359901275455,full,0.6339186039721938,0.8265975156200618,provisional_full,0.8828250515865774,200,1.3653017989386862,0.6382253430594571
signed_permutation,1.359524830506635,0.0019648945840895437,6,0.003621744882922222,block,0.0032857886304506604,0.0,oracle_block,0.0,201,1.363146575389557,0.0
signed_permutation,1.359524830506635,0.001964894584089544,6,0.003621744882922219,block,0.00328578863045066,0.0,permutation_block,0.0,201,1.363146575389557,0.0
signed_permutation,1.359524830506635,0.001986044097306022,6,0.0037117487676254102,block,0.002885757579003392,0.041729601668888304,jbd_block,0.045883917630167366,201,1.3632365792742602,0.0005095954137452457
signed_permutation,1.359524830506635,0.023711251208105622,4,0.02875243610681238,diagonal,0.0032857886304506604,0.0,oracle_diagonal,0.0,201,1.3882772666134473,0.0
signed_permutation,1.359524830506635,0.002717179077938697,10,0.004956212442958815,full,0.43239504606618506,1.0,provisional_full,1.0,201,1.3644810429495937,0.435947832338513
haar,1.3595248305066348,0.0019648945840895823,6,0.0036217448829223508,block,0.0032857886304508447,3.332000937312528e-08,oracle_block,0.0,201,1.3631465753895573,2.6588581492568743e-30
haar,1.3595248305066348,0.021802508833148,6,0.023880230348528358,block,0.40488415131584377,0.9624975805090796,permutation_block,0.9828196497106242,201,1.3834050608551631,0.39141006700823405
haar,1.3595248305066348,0.001986044097306088,6,0.003711748767625555,block,0.0028857575790036047,0.041729601668880324,jbd_block,0.0458839176301697,201,1.3632365792742605,0.000509595413745235
haar,1.3595248305066348,0.023711251208105636,4,0.028752436106812395,diagonal,0.0032857886304508447,3.332000937312528e-08,oracle_diagonal,0.0,201,1.388277266613447,2.6588581492568743e-30
haar,1.3595248305066348,0.0027171790779386804,10,0.004956212442958944,full,0.40488415131584377,0.9624975805090796,provisional_full,0.9828196497106242,201,1.3644810429495937,0.39141006700823405
signed_permutation,1.3602073005165356,0.0019422993581408089,6,0.003690788808648331,block,0.003759351626558617,0.0,oracle_block,0.0,202,1.3638980893251837,0.0
signed_permutation,1.3602073005165356,0.0019422993581408074,6,0.0036907888086483293,block,0.003759351626558617,0.0,permutation_block,0.0,202,1.3638980893251837,0.0
signed_permutation,1.3602073005165356,0.0019661685830856847,6,0.0037093372260953343,block,0.00342875661320284,0.02242955714915161,jbd_block,0.022430128091037834,202,1.3639166377426308,0.00032970288766878903
signed_permutation,1.3602073005165356,0.023918719449466736,4,0.02776386192521775,diagonal,0.003759351626558617,0.0,oracle_diagonal,0.0,202,1.3879711624417532,0.0
signed_permutation,1.3602073005165356,0.002574126158815865,10,0.006270404633850152,full,0.003759351626558617,0.0,provisional_full,0.0,202,1.3664777051503856,0.0
haar,1.3602073005165358,0.0019422993581408518,6,0.003690788808648411,block,0.0037593516265586285,0.0,oracle_block,0.0,202,1.3638980893251842,5.954067627548779e-31
haar,1.3602073005165356,0.02678267150934057,6,0.028775866021222514,block,0.4542498806450272,0.8966165867879892,permutation_block,0.9219362695913859,202,1.388983166537758,0.4878847474804469
haar,1.3602073005165358,0.001966168583085718,6,0.0037093372260954107,block,0.0034287566132028533,0.02242955714913676,jbd_block,0.0224301280910336,202,1.363916637742631,0.00032970288766876724
haar,1.3602073005165358,0.02391871944946678,4,0.027763861925217802,diagonal,0.0037593516265586285,0.0,oracle_diagonal,0.0,202,1.3879711624417534,5.954067627548779e-31
haar,1.3602073005165358,0.002574126158815915,10,0.006270404633850236,full,0.45851159290175453,0.7501781420623113,provisional_full,0.7636600279066119,202,1.3664777051503856,0.4521450370361187
signed_permutation,1.3708883869356054,0.002490539433586268,6,0.004588015797989621,block,0.007093720848727703,0.0,oracle_block,0.0,203,1.375476402733595,0.0
signed_permutation,1.3708883869356054,0.0024905394335862693,6,0.004588015797989621,block,0.007093720848727703,0.0,permutation_block,0.0,203,1.375476402733595,0.0
signed_permutation,1.370888386935605,0.0024856696651519403,6,0.004629396695746866,block,0.007063921327212921,0.047106311205841266,jbd_block,0.05796059299480375,203,1.3755177836313521,0.00029531832477475893
signed_permutation,1.3708883869356054,0.023502548565110616,4,0.025829192845920845,diagonal,0.007093720848727703,0.0,oracle_diagonal,0.0,203,1.396717579781526,0.0
signed_permutation,1.3708883869356054,0.003156317080786606,10,0.00601680068339468,full,0.007093720848727703,0.0,provisional_full,0.0,203,1.3769051876190002,0.0
haar,1.3708883869356054,0.0024905394335862844,6,0.004588015797989571,block,0.007093720848727667,0.0,oracle_block,0.0,203,1.375476402733595,3.162613767120737e-31
haar,1.3708883869356054,0.00490060688540291,6,0.007725781049354843,block,0.041822391978676765,0.6157440152856098,permutation_block,0.7967785698116396,203,1.3786141679849602,0.05458767370091647
haar,1.3708883869356052,0.0024856696651519503,6,0.004629396695746808,block,0.007063921327212907,0.04710631120582477,jbd_block,0.05796059299479903,203,1.3755177836313521,0.00029531832477472776
haar,1.3708883869356054,0.02350254856511061,4,0.025829192845920824,diagonal,0.007093720848727667,0.0,oracle_diagonal,0.0,203,1.396717579781526,3.162613767120737e-31
haar,1.3708883869356054,0.0031563170807866188,10,0.006016800683394606,full,0.041822391978676765,0.6157440152856098,provisional_full,0.7967785698116396,203,1.376905187619,0.05458767370091647
signed_permutation,1.362384653225507,0.0018295491847479266,6,0.004847453461291922,block,0.0037658504057243077,0.0,oracle_block,0.0,204,1.367232106686799,0.0
signed_permutation,1.362384653225507,0.0018295491847479266,6,0.004847453461291922,block,0.0037658504057243077,0.0,permutation_block,0.0,204,1.367232106686799,0.0
signed_permutation,1.362384653225507,0.001912626520997398,6,0.005003909554911082,block,0.0022673064401151433,0.07328867151668332,jbd_block,0.0806712519748866,204,1.3673885627804179,0.00132704809917437
signed_permutation,1.362384653225507,0.023901015415594258,4,0.026600392863196327,diagonal,0.0037658504057243077,0.0,oracle_diagonal,0.0,204,1.3889850460887032,0.0
signed_permutation,1.362384653225507,0.00230164020413331,10,0.006421502526495351,full,0.4367260368889178,1.0,provisional_full,1.0,204,1.3688061557520024,0.436194561568448
haar,1.362384653225507,0.0018295491847479476,6,0.004847453461292038,block,0.0037658504057243424,2.5809568279517847e-08,oracle_block,0.0,204,1.367232106686799,1.3221940719936458e-30
haar,1.362384653225507,0.0137676136815729,6,0.01585972596531757,block,0.2362078614983908,0.895516497027621,permutation_block,0.9383343027871626,204,1.3782443791908248,0.24612817309724236
haar,1.362384653225507,0.0019126265209973843,6,0.0050039095549111665,block,0.0022673064401151745,0.07328867151668635,jbd_block,0.08067125197489018,204,1.3673885627804183,0.0013270480991743766
haar,1.362384653225507,0.02390101541559427,4,0.026600392863196296,diagonal,0.0037658504057243424,2.5809568279517847e-08,oracle_diagonal,0.0,204,1.3889850460887032,1.3221940719936458e-30
haar,1.362384653225507,0.00230164020413321,10,0.006421502526495349,full,0.2362078614983908,0.895516497027621,provisional_full,0.9383343027871626,204,1.3688061557520024,0.24612817309724236
