arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3612869629485589,0.0011305713175318978,6,0.0012175913662375404,block,0.00040572972842992756,0.0,oracle_block,0.0,200,1.3625045543147964,0.0
signed_permutation,1.3612869629485589,0.0011305713175318965,6,0.0012175913662375425,block,0.00040572972842992756,0.0,permutation_block,0.0,200,1.3625045543147964,0.0
signed_permutation,1.3612869629485589,0.0011405317126553611,6,0.0012360518573871595,block,0.00022128686086760085,0.015204272889169547,jbd_block,0.015478394174210607,200,1.362523014805946,0.00018228580264838997
signed_permutation,1.3612869629485589,0.02277091355368596,4,0.02714073254379492,diagonal,0.00040572972842992756,0.0,oracle_diagonal,0.0,200,1.388427695492354,0.0
signed_permutation,1.3612869629485589,0.0013326170458869463,10,0.0017340996230665743,full,0.4344767383741326,1.0,provisional_full,1.0,200,1.3630210625716255,0.43669848360140656
haar,1.3612869629485584,0.0011305713175318343,6,0.0012175913662375718,block,0.0004057297284299832,2.1073424255447017e-08,oracle_block,0.0,200,1.3625045543147962,8.188680526575824e-31
haar,1.3612869629485587,0.017960157480755627,6,0.02050329859847756,block,0.33263943336058754,0.6337100366075035,permutation_block,0.7298168466553229,200,1.3817902615470363,0.335539338784368
haar,1.3612869629485584,0.0011405317126552586,6,0.00123605185738718,block,0.00022128686086765435,0.015204272889169547,jbd_block,0.015478394174211598,200,1.362523014805946,0.00018228580264838796
haar,1.3612869629485584,0.022770913553685938,4,0.027140732543794847,diagonal,0.0004057297284299832,2.1073424255447017e-08,oracle_diagonal,0.0,200,1.3884276954923533,8.188680526575824e-31
haar,1.3612869629485589,0.0013326170458867663,10,0.00173409962306651,full,0.6352689823467211,0.8265975156200618,provisional_full,0.8828250515865774,200,1.3630210625716255,0.6382253430594571
signed_permutation,1.359524830506635,0.0012562916192886476,6,0.001844615228180458,block,0.0007711774323417553,0.0,oracle_block,0.0,201,1.3613694457348153,0.0
signed_permutation,1.359524830506635,0.0012562916192886467,6,0.001844615228180456,block,0.0007711774323417553,0.0,permutation_block,0.0,201,1.3613694457348153,0.0
signed_permutation,1.3595248305066352,0.0012651636145575736,6,0.0018934786746720703,block,0.0006721658698054693,0.029412537865514746,jbd_block,0.03801438534006489,201,1.361418309181307,0.00010377177195412849
signed_permutation,1.359524830506635,0.023116931176644404,4,0.028180358778103032,diagonal,0.0007711774323417553,0.0,oracle_diagonal,0.0,201,1.387705189284738,0.0
signed_permutation,1.359524830506635,0.0013849332382875259,10,0.0021048955142008996,full,0.44214363987263405,1.0,provisional_full,1.0,201,1.3616297260208357,0.435947832338513
haar,1.3595248305066348,0.0012562916192886487,6,0.0018446152281803776,block,0.0007711774323418072,3.332000937312528e-08,oracle_block,0.0,201,1.361369445734815,2.6588581492568743e-30
haar,1.3595248305066348,0.02091760332851206,6,0.02247650744595306,block,0.39083636077655365,0.9624975805090796,permutation_block,0.9828196497106242,201,1.382001337952588,0.39141006700823405
haar,1.3595248305066348,0.0012651636145575571,6,0.0018934786746719853,block,0.0006721658698055195,0.02941253786551097,jbd_block,0.03801438534006631,201,1.361418309181307,0.00010377177195413533
haar,1.3595248305066348,0.0231169311766444,4,0.028180358778102984,diagonal,0.0007711774323418072,3.332000937312528e-08,oracle_diagonal,0.0,201,1.3877051892847376,2.6588581492568743e-30
