seed,h_mse,state_mse,state_mse_linear,state_r2,pair_val_loss,steps,nll_diq,nll_linear,nll_full_gmm,swd_diq,swd_linear,swd_full_gmm,swd_pca_latent,fid_diq,fid_linear,fid_full_gmm,fid_pca_latent,params_diq_density,params_full_gmm
0,0.001868260775078,0.001868260775078,0.0772369718652171,0.9988244915723355,0.0059154462069272,1000,1.5585538934305307,4.087915856665331,3.4561133295321325,0.0606086349235573,0.0675498818538756,0.066890737784761,0.1245249528287825,0.0266204950979071,0.0259945796356498,0.0318590357116246,0.2410575162425166,576,937
1,0.001734224467236,0.001734224467236,0.0779869059263099,0.9989088019180664,0.0054817707277834,1000,1.2122737667836685,3.90433806223474,2.971226513823147,0.0491616445753191,0.0660019259670644,0.0517806216341697,0.1147654017978838,0.019511282207379,0.0290853416752965,0.0173424304595348,0.2018761928972607,576,982
2,0.0017025871556639,0.0017025871556639,0.0752664424983321,0.9989288956988398,0.005693731829524,1000,1.1619719469913474,3.940013240787719,3.205704203841363,0.0594419787854113,0.0636731380603429,0.0570165252067739,0.1262023603562075,0.0417889660551323,0.0372784836957131,0.0328446654359327,0.2343867589698996,576,982
3,0.0016588232622481,0.0016588232622481,0.0767689409011499,0.9989553757964686,0.0056642042472958,1000,1.1324624355002866,3.8967257276967326,3.22093972128385,0.0765985103140426,0.0850994058313382,0.0782544749304652,0.13260274581195,0.0481169686267282,0.0520950826993877,0.0506690321290333,0.2489630772556816,582,937
4,0.0019098144273879,0.0019098144273879,0.0774918870821521,0.9987977943950384,0.0055477144196629,1000,1.391143247556096,4.090483684260159,3.0661255588849827,0.0567596859651848,0.0593300172499793,0.0653386627421572,0.1179959021942771,0.0291684346680278,0.0192988334577565,0.0358812252839512,0.2160904418389898,576,982
5,0.0019499639224453,0.0019499639224453,0.0816276836552533,0.9987738639863118,0.0054614255204796,1000,1.1571643719998792,3.931982678461333,2.973514069342853,0.0675028267239327,0.074315915256731,0.0686634507188637,0.1296392195768588,0.039364748970265,0.0354087945403394,0.0409256893900639,0.2615031044440259,582,937
6,0.0025518774019455,0.0025518774019455,0.0801671456643378,0.9983946222988924,0.005933478474617,1000,1.2834581708012376,3.9062464913560295,2.8963907598217418,0.0584610273526619,0.0674507035105565,0.0573672674130897,0.1198579935136303,0.0255279289187094,0.0212471545607178,0.0206878921919133,0.2252282932268541,576,982
7,0.0020527674454078,0.0020527674454078,0.0839280943071536,0.998709054918038,0.0063911550678312,1000,1.2164008744142152,3.907696803993881,2.446020318608232,0.0506926588271993,0.063299461804909,0.0518051328403476,0.1258906306434151,0.0198079587975035,0.0198392503664137,0.0215774709868291,0.2516968487258984,576,1027
8,0.0019058468046655485,0.0019058468046655485,0.07995343815454727,0.9988008640311056,0.005506512708961964,1000,1.1018405979053858,3.810375933096808,3.3460855277449957,0.06078550263051749,0.06523613869419788,0.06281146707751789,0.12354229706714281,0.03487194713297358,0.02933565564396374,0.037574334368971396,0.19247912897892336,576,1072
9,0.0015375795292470714,0.0015375795292470714,0.07996669030123976,0.9990328717281317,0.0053231073543429375,1000,0.9551582548336879,3.6584353833840906,2.4507742530675087,0.0597107108259722,0.06475021142530632,0.06084150424512152,0.12311311946110406,0.030787795826299928,0.03392848206174814,0.031046835934091594,0.23988393900302785,576,937
