comparison,metric,n,gain_mean,ci95_low,ci95_high,p_two_sided,wins
diq_vs_linear,swd,10,0.007698361873050241,0.00461437583595992,0.010782347910140563,0.0003148489149721836,10
diq_vs_linear,fid,10,-0.0012054867963939395,-0.005235198692905832,0.002824225100117952,0.5155954901785516,4
diq_vs_full_gmm,swd,10,0.0021046663669468703,-0.00020001826294099682,0.004409350996834737,0.0688273673635413,8
diq_vs_full_gmm,fid,10,0.00048420855910200034,-0.0028689124965352105,0.003837329614739211,0.7513881756799952,7
diq_vs_pca_latent,swd,10,0.06384114423274533,0.06031186318804265,0.06737042527744799,1.548502796062957e-11,10
diq_vs_pca_latent,fid,10,0.19975987752821522,0.18443131009719077,0.21508844495923968,2.9026868395331156e-10,10
diq_vs_linear,nll,10,2.696378630172049,2.642534539655073,2.750222720689025,1.6524747205579074e-15,10
diq_vs_full_gmm,nll,10,1.7862466695734471,1.5705608160488251,2.001932523098069,1.614717556647504e-08,10
diq_vs_linear,state_mse,10,0.07715224551643676,0.07538649985745353,0.07891799117541999,5.633082719521374e-15,10
