seed,beta,val_objective,decoder_sigma2,state_r2,swd_mean_decode,swd_stochastic_decode,fid_mean_decode,fid_stochastic_decode
0,0.0001,0.0442763081073761,0.0215969881950135,0.8549341775822428,0.0713782668955609,0.0660227192695632,0.0434891872047458,0.0368184790018882
1,0.0,0.0414041094481945,0.0228575268622199,0.8914860537222701,0.0637097569159948,0.0579788732365268,0.034176542374746,0.0297660186899087
2,0.0,0.0423097237944603,0.020704438429258,0.859960751581806,0.0708820560430612,0.0676791355868177,0.0447562948980354,0.0441236965745578
3,0.0001,0.0451816972613334,0.0224276666309764,0.8546328409140019,0.0866091765302183,0.0847248477416547,0.0616631553237676,0.0612894186190089
4,0.0001,0.04191125167608261,0.02517479023005405,0.8496442039055685,0.0765755205970545,0.0698642860586207,0.05337557232093447,0.04721476605709478
