,mean,sem
beta,6.000000000000001e-05,2.449489742783178e-05
val_objective,0.043016618057489374,0.000727877233192498
decoder_sigma2,0.02255228206950436,0.000752109199138915
state_r2,0.8621316055411778,0.007517864971839457
swd_mean_decode,0.07383095539637793,0.0037945086667672207
swd_stochastic_decode,0.06925397237863662,0.004357576364942928
fid_mean_decode,0.047492150424445836,0.004670364390503033
fid_stochastic_decode,0.04384247578849166,0.005307214034802203
