seed,method,metric,value
2,fiq_fm_diagonal_ablation,requested_label_accuracy,0.6111111044883728
3,fiq_fm_diagonal_ablation,requested_label_accuracy,0.6527777910232544
4,fiq_fm_diagonal_ablation,requested_label_accuracy,0.6611111164093018
0,full_fm_param_matched,sliced_w2,0.2907308232957234
1,full_fm_param_matched,sliced_w2,0.2861866104088259
2,full_fm_param_matched,sliced_w2,0.28339378091611606
3,full_fm_param_matched,sliced_w2,0.2861532446260525
4,full_fm_param_matched,sliced_w2,0.281806529552206
0,full_fm_param_matched,mmd2,0.0013448737895518377
1,full_fm_param_matched,mmd2,0.0
2,full_fm_param_matched,mmd2,0.0
3,full_fm_param_matched,mmd2,0.0
4,full_fm_param_matched,mmd2,0.0
0,full_fm_param_matched,energy,0.01864864781746367
1,full_fm_param_matched,energy,0.0068489087316667705
2,full_fm_param_matched,energy,0.005968016427358336
3,full_fm_param_matched,energy,0.011847473640556273
4,full_fm_param_matched,energy,0.006176729003086079
0,full_fm_param_matched,cov_error,0.32400929389789723
1,full_fm_param_matched,cov_error,0.30961394540426745
2,full_fm_param_matched,cov_error,0.29737522405618433
3,full_fm_param_matched,cov_error,0.32449673716646865
4,full_fm_param_matched,cov_error,0.3084598368991424
0,full_fm_param_matched,mean_error,0.05210917558753116
1,full_fm_param_matched,mean_error,0.02650013104303134
2,full_fm_param_matched,mean_error,0.03367303580681167
3,full_fm_param_matched,mean_error,0.040593880552285994
4,full_fm_param_matched,mean_error,0.023612787410760988
0,full_fm_param_matched,feature_frechet,20.92555331321737
1,full_fm_param_matched,feature_frechet,18.675283736488478
2,full_fm_param_matched,feature_frechet,20.192897906090567
3,full_fm_param_matched,feature_frechet,17.34943110535846
4,full_fm_param_matched,feature_frechet,17.466238085044206
0,full_fm_param_matched,class_feature_frechet,36.77910201274707
1,full_fm_param_matched,class_feature_frechet,33.335710987468074
2,full_fm_param_matched,class_feature_frechet,36.767745590818544
3,full_fm_param_matched,class_feature_frechet,30.1233462076575
4,full_fm_param_matched,class_feature_frechet,32.09245364710573
0,full_fm_param_matched,precision,0.7805555555555556
1,full_fm_param_matched,precision,0.7527777777777778
2,full_fm_param_matched,precision,0.7777777777777778
3,full_fm_param_matched,precision,0.8111111111111111
4,full_fm_param_matched,precision,0.8055555555555556
0,full_fm_param_matched,recall,0.5555555555555556
1,full_fm_param_matched,recall,0.5138888888888888
2,full_fm_param_matched,recall,0.5166666666666667
3,full_fm_param_matched,recall,0.5416666666666666
4,full_fm_param_matched,recall,0.5166666666666667
0,full_fm_param_matched,requested_label_accuracy,0.30000001192092896
1,full_fm_param_matched,requested_label_accuracy,0.3499999940395355
2,full_fm_param_matched,requested_label_accuracy,0.3638888895511627
3,full_fm_param_matched,requested_label_accuracy,0.3222222328186035
4,full_fm_param_matched,requested_label_accuracy,0.3722222149372101
0,vae_lfm_diagonal,sliced_w2,0.34281618204873765
