seed,evaluator_val_accuracy,evaluator_real_test_accuracy,gauge_fraction_within_blocks,fitted_block_nll,fitted_diagonal_nll,fiq_reconstruction_mse,vae_reconstruction_mse,rae_reconstruction_mse,fiq_probe_accuracy,vae_probe_accuracy,rae_probe_accuracy,fiq_seconds,full_seconds,full_over_fiq_speed_ratio
0,0.9749303460121155,0.9777777791023254,0.13894430711611144,49.0283317565918,49.3475227355957,0.17478018999099731,0.413720041513443,0.3611012399196625,0.9583333333333334,0.95,0.9611111111111111,0.261174195446074,0.2886836091056466,1.1053297495754617
1,0.9693593382835388,0.980555534362793,0.13724887819531953,48.51130676269531,48.856502532958984,0.19144393503665924,0.42098480463027954,0.3787597715854645,0.9666666666666667,0.9555555555555556,0.9666666666666667,0.2598311388865113,0.28633189387619495,1.1019853056876703
2,0.9665738344192505,0.9638888835906982,0.13731452504114952,49.017208099365234,49.35319137573242,0.18998998403549194,0.4212968647480011,0.376016229391098,0.9611111111111111,0.95,0.9666666666666667,0.2613073941320181,0.296100452542305,1.1331445623130088
3,0.9721448421478271,0.9750000238418579,0.13905326988648486,48.52336120605469,48.87029266357422,0.1913498044013977,0.4221065640449524,0.37615591287612915,0.9583333333333334,0.95,0.9638888888888889,0.25446741469204426,0.295331341214478,1.1605841173518394
4,0.9721448421478271,0.9833333492279053,0.13932879243780238,48.48104476928711,48.824031829833984,0.2026975303888321,0.42165666818618774,0.3709454834461212,0.9583333333333334,0.9638888888888889,0.9694444444444444,0.26322492491453886,0.29050725791603327,1.103644947053824
