kl,method,regime,sample_size,seed,study,unit
1.781481512324133,full_latent_coordinatewise,alternating_variances,4,50011,variance_estimation,11
1.6481821873542146,full_latent_pooled,alternating_variances,4,50011,variance_estimation,11
0.002463695511228721,qalt_pooled,exact_sharing,4,50012,variance_estimation,12
1.61457688312775,full_latent_coordinatewise,exact_sharing,4,50012,variance_estimation,12
0.002463695511228721,full_latent_pooled,exact_sharing,4,50012,variance_estimation,12
1.6666521459892354,qalt_pooled,alternating_variances,4,50012,variance_estimation,12
3.796660579358907,full_latent_coordinatewise,alternating_variances,4,50012,variance_estimation,12
1.6666521459892354,full_latent_pooled,alternating_variances,4,50012,variance_estimation,12
0.03374263909153952,qalt_pooled,exact_sharing,4,50013,variance_estimation,13
4.1763902183215285,full_latent_coordinatewise,exact_sharing,4,50013,variance_estimation,13
0.03374263909153952,full_latent_pooled,exact_sharing,4,50013,variance_estimation,13
1.7384404680647532,qalt_pooled,alternating_variances,4,50013,variance_estimation,13
14.723275629567889,full_latent_coordinatewise,alternating_variances,4,50013,variance_estimation,13
1.7384404680647532,full_latent_pooled,alternating_variances,4,50013,variance_estimation,13
0.28251240528208443,qalt_pooled,exact_sharing,4,50014,variance_estimation,14
6.596458439751388,full_latent_coordinatewise,exact_sharing,4,50014,variance_estimation,14
0.28251240528208443,full_latent_pooled,exact_sharing,4,50014,variance_estimation,14
1.5205854913907122,qalt_pooled,alternating_variances,4,50014,variance_estimation,14
1.6275632647239784,full_latent_coordinatewise,alternating_variances,4,50014,variance_estimation,14
1.5205854913907122,full_latent_pooled,alternating_variances,4,50014,variance_estimation,14
0.11810727716649971,qalt_pooled,exact_sharing,4,50015,variance_estimation,15
2.550046180555511,full_latent_coordinatewise,exact_sharing,4,50015,variance_estimation,15
0.11810727716649971,full_latent_pooled,exact_sharing,4,50015,variance_estimation,15
1.3394262887001431,qalt_pooled,alternating_variances,4,50015,variance_estimation,15
4.038045389432501,full_latent_coordinatewise,alternating_variances,4,50015,variance_estimation,15
1.3394262887001431,full_latent_pooled,alternating_variances,4,50015,variance_estimation,15
0.08750662251491481,qalt_pooled,exact_sharing,4,50016,variance_estimation,16
9.068597557967575,full_latent_coordinatewise,exact_sharing,4,50016,variance_estimation,16
0.08750662251491481,full_latent_pooled,exact_sharing,4,50016,variance_estimation,16
1.3402930724281126,qalt_pooled,alternating_variances,4,50016,variance_estimation,16
7.356538762351042,full_latent_coordinatewise,alternating_variances,4,50016,variance_estimation,16
1.3402930724281126,full_latent_pooled,alternating_variances,4,50016,variance_estimation,16
0.025547256908617394,qalt_pooled,exact_sharing,4,50017,variance_estimation,17
1.0522315698620495,full_latent_coordinatewise,exact_sharing,4,50017,variance_estimation,17
0.025547256908617394,full_latent_pooled,exact_sharing,4,50017,variance_estimation,17
1.7266262511206114,qalt_pooled,alternating_variances,4,50017,variance_estimation,17
4.187443194751645,full_latent_coordinatewise,alternating_variances,4,50017,variance_estimation,17
1.7266262511206114,full_latent_pooled,alternating_variances,4,50017,variance_estimation,17
0.09384543498738757,qalt_pooled,exact_sharing,4,50018,variance_estimation,18
1.9062265193291497,full_latent_coordinatewise,exact_sharing,4,50018,variance_estimation,18
0.09384543498738757,full_latent_pooled,exact_sharing,4,50018,variance_estimation,18
1.338979103788976,qalt_pooled,alternating_variances,4,50018,variance_estimation,18
0.5563040357324271,full_latent_coordinatewise,alternating_variances,4,50018,variance_estimation,18
1.338979103788976,full_latent_pooled,alternating_variances,4,50018,variance_estimation,18
0.040473786070065215,qalt_pooled,exact_sharing,4,50019,variance_estimation,19
1.0627088246693392,full_latent_coordinatewise,exact_sharing,4,50019,variance_estimation,19
0.040473786070065215,full_latent_pooled,exact_sharing,4,50019,variance_estimation,19
1.7045343322552071,qalt_pooled,alternating_variances,4,50019,variance_estimation,19
3.0900084094605185,full_latent_coordinatewise,alternating_variances,4,50019,variance_estimation,19
1.7045343322552071,full_latent_pooled,alternating_variances,4,50019,variance_estimation,19
0.018287505343303118,qalt_pooled,exact_sharing,4,50020,variance_estimation,20
1.9773520929706356,full_latent_coordinatewise,exact_sharing,4,50020,variance_estimation,20
0.018287505343303118,full_latent_pooled,exact_sharing,4,50020,variance_estimation,20
1.7133207409542688,qalt_pooled,alternating_variances,4,50020,variance_estimation,20
0.5002732077855127,full_latent_coordinatewise,alternating_variances,4,50020,variance_estimation,20
1.7133207409542688,full_latent_pooled,alternating_variances,4,50020,variance_estimation,20
0.1106462298319289,qalt_pooled,exact_sharing,4,50021,variance_estimation,21
3.8168386587597602,full_latent_coordinatewise,exact_sharing,4,50021,variance_estimation,21
0.1106462298319289,full_latent_pooled,exact_sharing,4,50021,variance_estimation,21
2.0357949417465617,qalt_pooled,alternating_variances,4,50021,variance_estimation,21
15.758882983551148,full_latent_coordinatewise,alternating_variances,4,50021,variance_estimation,21
2.0357949417465617,full_latent_pooled,alternating_variances,4,50021,variance_estimation,21
0.004723670913349118,qalt_pooled,exact_sharing,4,50022,variance_estimation,22
4.090495716288597,full_latent_coordinatewise,exact_sharing,4,50022,variance_estimation,22
0.004723670913349118,full_latent_pooled,exact_sharing,4,50022,variance_estimation,22
1.6361035388119274,qalt_pooled,alternating_variances,4,50022,variance_estimation,22
5.03693895829114,full_latent_coordinatewise,alternating_variances,4,50022,variance_estimation,22
1.6361035388119274,full_latent_pooled,alternating_variances,4,50022,variance_estimation,22
0.1430028385823296,qalt_pooled,exact_sharing,4,50023,variance_estimation,23
3.295287554594577,full_latent_coordinatewise,exact_sharing,4,50023,variance_estimation,23
0.1430028385823296,full_latent_pooled,exact_sharing,4,50023,variance_estimation,23
1.4392943527962774,qalt_pooled,alternating_variances,4,50023,variance_estimation,23
1.5066976686094002,full_latent_coordinatewise,alternating_variances,4,50023,variance_estimation,23
1.4392943527962774,full_latent_pooled,alternating_variances,4,50023,variance_estimation,23
0.43238986385543954,qalt_pooled,exact_sharing,4,50024,variance_estimation,24
1.4901196483632622,full_latent_coordinatewise,exact_sharing,4,50024,variance_estimation,24
0.43238986385543954,full_latent_pooled,exact_sharing,4,50024,variance_estimation,24
1.3784601756073642,qalt_pooled,alternating_variances,4,50024,variance_estimation,24
4.49422555025914,full_latent_coordinatewise,alternating_variances,4,50024,variance_estimation,24
1.3784601756073642,full_latent_pooled,alternating_variances,4,50024,variance_estimation,24
0.11366005392668282,qalt_pooled,exact_sharing,4,50025,variance_estimation,25
2.7341730036658016,full_latent_coordinatewise,exact_sharing,4,50025,variance_estimation,25
0.11366005392668282,full_latent_pooled,exact_sharing,4,50025,variance_estimation,25
1.4637147199046177,qalt_pooled,alternating_variances,4,50025,variance_estimation,25
1.1927772637967968,full_latent_coordinatewise,alternating_variances,4,50025,variance_estimation,25
1.4637147199046177,full_latent_pooled,alternating_variances,4,50025,variance_estimation,25
0.0016835623659910842,qalt_pooled,exact_sharing,4,50026,variance_estimation,26
5.077476335239061,full_latent_coordinatewise,exact_sharing,4,50026,variance_estimation,26
