arm,bayes_nll,conditional_w2_squared,covariance_head_outputs,excess_nll,family,heldout_contrast_loss,maximum_principal_sine,method,projector_error,seed,test_nll,true_crossblock_leakage
signed_permutation,1.3738517309288591,0.005502804259260778,6,0.009720030709215724,block,0.33260954665213854,0.0,oracle_block,0.0,0,1.3835717616380747,0.0
signed_permutation,1.3738517309288591,0.028308427987966966,6,0.029496740737610643,block,0.31433717191748256,1.0,permutation_block,1.0,0,1.4033484716664697,0.4423791271502949
signed_permutation,1.3738517309288591,0.02323595670760618,6,0.023923483347317313,block,0.44498045588141505,0.8162980422497627,jbd_block,0.8209934504044777,0,1.3977752142761763,0.3489953018803215
signed_permutation,1.3738517309288591,0.02696204866645314,4,0.026036467530111025,diagonal,0.33260954665213854,0.0,oracle_diagonal,0.0,0,1.3998881984589702,0.0
signed_permutation,1.3738517309288591,0.008165996198325944,10,0.018352539309146345,full,0.31433717191748256,1.0,provisional_full,1.0,0,1.3922042702380053,0.4423791271502949
haar,1.3738517309288587,0.00550280425926083,6,0.00972003070921566,block,0.3326095466521305,3.942476676500724e-08,oracle_block,0.0,0,1.3835717616380743,9.58301251771162e-31
haar,1.3738517309288587,0.033670889087719,6,0.036395923912310474,block,0.3500320520947511,0.973328107981378,permutation_block,0.9851602739255865,0,1.4102476548411693,0.5508932172943766
haar,1.3738517309288587,0.023235956707603287,6,0.023923483347314475,block,0.4449804558813822,0.8162980422498651,jbd_block,0.8209934504045822,0,1.3977752142761732,0.34899530188025785
haar,1.3738517309288587,0.0269620486664532,4,0.026036467530111098,diagonal,0.3326095466521305,3.942476676500724e-08,oracle_diagonal,0.0,0,1.3998881984589697,9.58301251771162e-31
haar,1.3738517309288587,0.008165996198325967,10,0.01835253930914636,full,0.3500320520947511,0.973328107981378,provisional_full,0.9851602739255865,0,1.3922042702380053,0.5508932172943766
